id,name,constellation,search,wikistatus,ra,dec,Hipparcos,Draper,BrightStar,hascat,s0_absmag_v,s0_appmag_v,s0_class,s0_constell,s0_dist_ly,s0_dist_pc,s0_gravity,s0_luminosity,s0_mass,s0_metal_fe,s0_parallax,s0_radial_v,s0_radius,s0_rotational_velocity,s0_temperature,s0_variable,s1_absmag_v,s1_appmag_v,s1_class,s1_constell,s1_dist_ly,s1_dist_pc,s1_gravity,s1_luminosity,s1_mass,s1_metal_fe,s1_parallax,s1_radial_v,s1_radius,s1_rotational_velocity,s1_temperature,s1_variable,s2_absmag_v,s2_appmag_v,s2_class,s2_constell,s2_dist_ly,s2_dist_pc,s2_gravity,s2_luminosity,s2_mass,s2_metal_fe,s2_parallax,s2_radial_v,s2_radius,s2_rotational_velocity,s2_temperature,s2_variable,s3_absmag_v,s3_appmag_v,s3_class,s3_constell,s3_dist_ly,s3_dist_pc,s3_gravity,s3_luminosity,s3_mass,s3_metal_fe,s3_parallax,s3_radial_v,s3_radius,s3_rotational_velocity,s3_temperature,s3_variable,s4_absmag_v,s4_appmag_v,s4_class,s4_constell,s4_dist_ly,s4_dist_pc,s4_gravity,s4_luminosity,s4_mass,s4_metal_fe,s4_parallax,s4_radial_v,s4_radius,s4_rotational_velocity,s4_temperature,s4_variable,s5_absmag_v,s5_appmag_v,s5_class,s5_constell,s5_dist_ly,s5_dist_pc,s5_gravity,s5_luminosity,s5_mass,s5_metal_fe,s5_parallax,s5_radial_v,s5_radius,s5_rotational_velocity,s5_temperature,s5_variable,s6_absmag_v,s6_appmag_v,s6_class,s6_constell,s6_dist_ly,s6_dist_pc,s6_gravity,s6_luminosity,s6_mass,s6_metal_fe,s6_parallax,s6_radial_v,s6_radius,s6_rotational_velocity,s6_temperature,s6_variable,s7_absmag_v,s7_appmag_v,s7_class,s7_constell,s7_dist_ly,s7_dist_pc,s7_gravity,s7_luminosity,s7_mass,s7_metal_fe,s7_parallax,s7_radial_v,s7_radius,s7_rotational_velocity,s7_temperature,s7_variable,s8_absmag_v,s8_appmag_v,s8_class,s8_constell,s8_dist_ly,s8_dist_pc,s8_gravity,s8_luminosity,s8_mass,s8_metal_fe,s8_parallax,s8_radial_v,s8_radius,s8_rotational_velocity,s8_temperature,s8_variable,s9_absmag_v,s9_appmag_v,s9_class,s9_constell,s9_dist_ly,s9_dist_pc,s9_gravity,s9_luminosity,s9_mass,s9_metal_fe,s9_parallax,s9_radial_v,s9_radius,s9_rotational_velocity,s9_temperature,s9_variable
246,MIZAR,Ursae Majoris,Zeta Ursae Majoris,cache,3.5077845473,0.9586269398,65378,116842,5054,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,MOTHALLAH,Trianguli,Alpha Trianguli,cache,0.4934123681,0.5162479341,8796,11443,,yes,1.98,3.42,F5III,[[Triangulum]] ,,,3.91, ,1.7,–0.09,51.5,–12.6,3.22,81.6,6288,[[rotating ellipsoidal variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,MUHLIFAIN,Centauri,Gamma Centauri,cache,3.3227462002,-0.8545109595,61932,117440,,yes,–0.81,2.17,A1IV+,[[Centaurus]],,,3.52, ,2.91,,25.06,−5.5, , ,9082, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,MULIPHEIN,Canis Majoris,Gamma Canis Majoris,cache,1.8489945374,0.2728531397,34045,53244,,yes,,4.11,,[[Canis Major]],402 ± 31,123 ± 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,MUPHRID,Boötis,Eta Boötis,cache,3.6419988338,0.3211008015,67927,121370,,yes,2.41,2.68,G0 IV,[[Boötes]] ,,,3.817 ± 0.015,8.89 ± 0.16,1.71 ± 0.05,0.27,87.75,-1.6,2.672 ± 0.028,11.8,"6,100 ± 28", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,MURZIM,Canis Majoris,Beta Canis Majoris,cache,1.6698426965,-0.3133899014,30324,44743,1,yes,,1.985,B1 II-III,[[Canis Major]],,,3.79 ± 0.20,26600,13.5 ± 0.5,0.04 ± 0.10,6.53,33.7,9.7 ± 1.3,31 ± 5,23150,[[Beta Cephei variable,,,"""wikitable"" style=""text-align: center; float: left;""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,MUSCIDA,Ursae Majoris,Omicron Ursae Majoris,cache,2.2264489418,1.0597319799,41704,71369,3323,yes,–0.40,3.35,G4 II–III,[[Ursa Major]],,,2.64,138,3.09,–0.09,18.21,19.8,14,15,5242, ,,,,,,,,,>4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,MUSCIDA,Ursae Majoris,Pi1 Ursae Majoris,cache,2.2264489418,1.0597319799,41704,71369,3323,yes,–0.40,3.35,G4 II–III,[[Ursa Major]],,,2.64,138,3.09,–0.09,18.21,19.8,14,15,5242, ,,,,,,,,,>4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,MUSCIDA,Ursae Majoris,Pi2 Ursae Majoris,cache,2.2264489418,1.0597319799,41704,71369,3323,yes,–0.40,3.35,G4 II–III,[[Ursa Major]],,,2.64,138,3.09,–0.09,18.21,19.8,14,15,5242, ,,,,,,,,,>4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,MYIA,Muscae,Alpha Muscae,cache,3.303836853,-1.2066432356,61585,109668,4798,yes,–2.2,2.69,B2 IV-V,[[Musca (constellation),,,4.06,4000,8.8 ± 0.1, ,10.34,13,4.8,114,21400,[[Beta Cephei variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,NAOS,Puppis,Zeta Puppis,cache,2.1100376158,-0.6981879392,39429,66811,3165,yes,-5.5,2.21,O4If(n)p,[[Puppis]],,,3.5,,22.5,0.34,3,,14,>220,42000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,NASHIRA,Capricorni,Gamma Capricorni,cache,5.6727168623,-0.2908121317,106985,206088,,yes,,3.69,F0p,[[Capricornus]],,,3.95,,,,23.48,−31.2,,40,7520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,NAVI,Cassiopeiae,Gamma Cassiopeiae,cache,0.247436861,1.0597071909,4427,5394,,yes, ,2.47,B0.5 IVe,[[Cassiopeia (constellation),,,,55000,19.3 ± 0.1, ,5.94,–6.8,14,300,30900,[[Gamma Cassiopeiae variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,NEKKAR,Boötis,Beta Boötis,cache,3.9354820169,0.704948378,73555,133208,,yes,–0.70,3.488,G8IIIa,[[Boötes (constellation),,,2.40 ± 0.20,170,3.4 ± 0.2,–0.13,14.48,–18.35,21.5 ± 1.0,4.10 ± 1.0,4932,[[Flare star]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,NEMBUS,Andromedae,51 Andromedae,cache,0.427573669,0.8487225872,7607,9927,464,yes,5.833,3.57,K3III,[[Andromeda (constellation),,,,,2.3,,18.41,16.1,21.5 ± 0.9,,,None ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,NIHAL,Leporis,Beta Leporis,cache,1.432240685,-0.3623205973,25606,36079,1829,yes, ,2.84,G5 II,[[Lepus (constellation),,,2.60 ± 0.03,171,3.5 ± 0.1,0.05,20.34,−13.6 ± 0.9,16,11,"5,450 ± 100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,NUNKI,Sagittarii,Sigma Sagittarii,cache,4.9535299603,-0.4589644182,92855,175191,7121,yes, ,2.05,B2.5 V,[[Sagittarius (constellation),,,,3300,7.8 ± 0.2,,14.32,–11.2,4.5,165,18890, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,NUSAKAN,Coronae Borealis,Beta Coronae Borealis,cache,4.0484170673,0.5079903446,75695,137909,5747,yes,0.97,3.65 to 3.72,A9SrEuCr / ?,[[Corona Borealis (constellation),,,,,,,28.6,−18.7 ± 0.9,,,,[[Alpha² Canum Venaticorum variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,OKUL,Capricorni,Pi Capricorni,cache,5.3551937439,0.3178535456,100881,194636,,yes,,5.08,,[[Capricornus]],670 ± 110,204 ± 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,PAE CHAOU,Delphini,Epsilon Delphini,cache,5.3809082615,0.1972803831,101421,195810,7852,yes,&minus;1.18,4.03,B6III,[[Delphinus]],358,110, , , , ,9.09,&minus;19,4.6, ,"13,614 ± 15",''suspected'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,PEACOCK,Pavonis,Alpha Pavonis,cache,5.3478965986,-0.9902141171,100751,193924,7790,yes, ,1.94,B2 IV,[[Pavo (constellation),,,3.8,2200,6.3 ± 0.2, ,18.24,2,4.5–5.6,39,18000, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,PENNAE CAUDALIS,Cygni,Pi2 Cygni,cache,5.7019623047,0.860614582,107533,207330,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,PEREGRINI,Velorum,Mu Velorum,cache,2.8220649569,-0.862546198,52727,93497,5,yes, ,2.69,G5III + G2V,[[Vela (constellation),,,2.75,107,3.3, ,27.84,6.2,13,6.4,5047, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,THE PERSIAN,Indi,Alpha Indi,cache,5.3999055894,-0.8253923958,101772,196171,,yes,0.65,3.11,K0 III-IV,[[Indus (constellation),,,3, ,2,0.03,33.17,-1.3,12,,4893, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,PHACT,Columbae,Alpha Columbae,cache,1.4819984127,-0.5947054043,26634,37795,1956,yes, ,2.645,B7 IV,[[Columba (constellation),,,3.73,,4.5,,12.48,35,5.8,176,12963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,PHAD,Ursae Majoris,Gamma Ursae Majoris,cache,3.1146743911,0.9371503482,58001,103287,4554,yes, ,2.438,A0 Ve,[[Ursa Major]],,,3.79, ,2.62, ,39.21,−12.6,3.04 ± 0.08,178,9355, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,PHERKAD MAJOR,Ursae Minoris,Gamma Ursae Minoris,cache,4.0174363997,1.2537401038,75097,137422,,yes,–2.84,3.05,A3 Iab:,[[Ursa Minor (constellation),,,2.53,1100, ,,6.7,-3.9,15,180,8280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,PHERKAD MINOR,Ursae Minoris,11 Ursae Minoris,cache,4.0015956431,1.2535633427,74793,136726,5714,yes,–0.363,5.024,K4III,[[Ursa Minor]],,,2.62,185,1.8 ± 0.25,,8.19,–17.87,24.08 ± 1.84,,4340 ± 70, ,,,,,,,,,≥10.50 ± 2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,PHORBACEUS,Ophiuchi,72 Ophiuchi,cache,4.7444608598,0.1669174719,88771,165777,6771,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,PIAZZI'S FLYING STAR,Cygni,61 Cygni,cache,5.5278899573,0.6763048944,474,201091,,yes,7.48/8.33,,K5V,[[Cygnus (constellation),,,4.4,0.153 ± 0.01,0.7,–0.20,285.88,-64.3,0.665 ± 0.005,,"4,526 ± 66",A: [[BY Draconis variable,,,,,,,,0.085 ± 0.007,,,,,0.595 ± 0.008,,"4,077 ± 59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,PLASKETT'S STAR,2422,HR 2422,not found,,,31646,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,PLEIONE,Tauri,28 Tauri,cache,1.0000166546,0.421265094,17851,23862,1,yes,-0.33,5.048,B8IVpe ,[[Taurus (constellation),,,,190,3.4,,8.32,4.4,3.2,,12000,[[Variable star#Gamma Cassiopeiae variables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,POLARIS,Ursae Minoris,Alpha Ursae Minoris,cache,0.6624317182,1.5579526428,11767,8890,424,yes,,,"""wikitable plainrowheaders"" style=""float: right; margin-right: 0; margin-left: 1em; text-align: center;""",[[Ursa Minor]],325,99,,,,,7.54,,,,,,,,F7Ib,,,,,,,,,,,,,,,,F6V,,,,,,,,,,,,,,,,F3V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,POLARIS AUSTRALIS,Octantis,Sigma Octantis,cache,5.5360971209,1.5525818768,104382,177482,,yes,0.83,5.42,F0 III,[[Octans]] ,270,83,,,,,12.07,11.9,,,,[[Delta Scuti variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,POLIS,Sagittarii,Mu Sagittarii,cache,4.7724428511,0.3675469479,89341,166937,6812,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,POLLUX,Geminorum,Beta Geminorum,cache,2.0303233289,0.4891494474,37826,62509,2990,yes,+1.08 ± 0.02,1.14,K0 III,[[Gemini (constellation),,,2.685 ± 0.09,43,2.04 ± 0.3,–0.07 to +0.19,96.54,3.23,8.8 ± 0.1,2.8,"4,666 ± 95",''Suspected'',,,,,,,,,>2.30 ± 0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,PORRIMA,Virginis,Gamma Virginis,cache,3.3233718542,-0.0252963275,61941,110379,,yes,2.38 (3.12/3.14),2.74 (3.650/3.560,F0 V/F0 V,[[Virgo (constellation),,,,,,–0.07,85.58,-20,,,,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,PRAECIPUA,Leonis Minoris,46 Leonis Minoris,cache,2.8506102604,0.5971621613,53229,94264,4247,yes, ,3.83,K0+III-IV,[[Leo Minor]],,,2.96,34 ± 2, , ,34.38, ,8.2 ± 0.2, ,4670, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,PRIMA STRUTHIONUM,Ceti,Eta Ceti,cache,0.2992797139,-0.1777140641,5364,6805,,yes, ,3.446,K1 III,[[Cetus (constellation),,,2.5,74.0 ± 3.7,1.0–1.4,–0.03,26.32,+11.74 ± 0.30,15.10 ± 0.10,4.8,"4,356 ± 55", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,PRIMUS HYADUM,Taurii,Gamma Taurii,not found,,,20205,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,PRINCEPS,Boötis,Delta Boötis,cache,3.9946341756,0.5814534955,74666,135722,5681,yes, ,,G8 III,[[Boötes (constellation),,,2.56, , ,–0.44,26.78,–12.3,10.5 ± 0.2,3.6,4847, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,PROCYON,Canis Minoris,Alpha Canis Minoris,cache,2.0040830039,0.0911932362,37279,61421,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,PRZYBYLSKI'S STAR,101065,HD 101065,cache,3.0439298828,-0.8152378482,56709,101065,,yes, ,8.02,B5p,[[Centaurus]],,,4.2,,4.0 ± 0.1,–2.40,8.93,10.2,,,6600, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,PULCHERRIMA,Boötis,Epsilon Boötis,cache,3.8614840621,0.4725343682,72105,129988,5505,yes, ,2.37,K0 II-III,[[Boötes]],,,2.2,501,4.6,,16.1,-16.31,33,10.9,4550, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,QUARTA STRUTHIONUM,Ceti,Zeta Ceti,cache,,,8645,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,QUINTA STRUTHIONUM,Ceti,Upsilon Ceti,cache,0.5236213194,0.3678766212,9347,12274,,yes,,3.99,,[[Cetus (constellation),301,92.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,RANA,Eridani,Delta Eridani,cache,0.9741046166,-0.1704032823,17378,23249,,yes,3.77,3.54,K0 IV,[[Eridanus (constellation),,,3.9,3.00 ± 0.12,1.33 ± 0.07,0.13,110.61,–6,2.327 ± 0.029,1,5055,''Suspected'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,RAS ALGETHI,Herculis,Alpha Herculis,cache,4.514497732,0.2511577275,84345,156014,,yes,-2.3,2.9137 / 5.4,M5IIvar / (G5III+F2V),[[Hercules (constellation),,,−0.41 ± 0.19,8300,2.15 ± 0.22,,9.07,,387, ,2800,Semiregular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
