70   DEBUG stellarum.wikipedia 377 : Matched cat Draper - (?^u:\[\[Henry Draper Catalogue\|HD\]\](&nbsp;|\s*)(\d+)) - 27934
70   DEBUG stellarum.wikipedia 377 : Matched cat Hipparcos - (?^u:\[\[Hipparcos catalogue\|HIP\]\](&nbsp;|\s*)(\d+)) - 20635
71   DEBUG stellarum.wiki_stars 89 : Star AL KURUD Theta Columbae
72   DEBUG stellarum.wikipedia 212 : Missing field absmag_v
72   DEBUG stellarum.wikipedia 212 : Missing field appmag_v
72   DEBUG stellarum.wikipedia 212 : Missing field class
73   DEBUG stellarum.wikipedia 212 : Missing field constell
73   DEBUG stellarum.wikipedia 212 : Missing field dist_ly
73   DEBUG stellarum.wikipedia 212 : Missing field dist_pc
73   DEBUG stellarum.wikipedia 212 : Missing field gravity
73   DEBUG stellarum.wikipedia 212 : Missing field luminosity
73   DEBUG stellarum.wikipedia 212 : Missing field mass
74   DEBUG stellarum.wikipedia 212 : Missing field metal_fe
74   DEBUG stellarum.wikipedia 212 : Missing field parallax
74   DEBUG stellarum.wikipedia 212 : Missing field radial_v
74   DEBUG stellarum.wikipedia 212 : Missing field radius
74   DEBUG stellarum.wikipedia 212 : Missing field rotational_velocity
75   DEBUG stellarum.wikipedia 212 : Missing field temperature
75   DEBUG stellarum.wikipedia 212 : Missing field variable
75   DEBUG stellarum.wikipedia 377 : Matched cat Draper - (?^u:\[\[Henry Draper Catalogue\|HD\]\](&nbsp;|\s*)(\d+)) - 42167
75   DEBUG stellarum.wikipedia 377 : Matched cat BrightStar - (?^u:\[\[Bright Star Catalogue\|HR\]\](&nbsp;|\s*)(\d+)) - 2177
76   DEBUG stellarum.wiki_stars 89 : Star AL MAAZ Epsilon Aurigae
78   DEBUG stellarum.wikipedia 212 : Missing field dist_ly
78   DEBUG stellarum.wikipedia 212 : Missing field dist_pc
78   DEBUG stellarum.wikipedia 212 : Missing field luminosity
78   DEBUG stellarum.wikipedia 212 : Missing field metal_fe
79   DEBUG stellarum.wikipedia 377 : Matched cat Hipparcos - (?^u:\[\[Hipparcos catalogue\|HIP\]\](&nbsp;|\s*)(\d+)) - 23416
79   DEBUG stellarum.wiki_stars 89 : Star AL MINCHIR AL ASAD Kappa Leonis
80   DEBUG stellarum.wikipedia 212 : Missing field dist_ly
80   DEBUG stellarum.wikipedia 212 : Missing field dist_pc
81   DEBUG stellarum.wikipedia 212 : Missing field luminosity
81   DEBUG stellarum.wikipedia 212 : Missing field mass
81   DEBUG stellarum.wikipedia 212 : Missing field metal_fe
81   DEBUG stellarum.wikipedia 212 : Missing field radius
81   DEBUG stellarum.wikipedia 377 : Matched cat BrightStar - (?^u:(HR)\s*(\d+)) - 3731
82   DEBUG stellarum.wikipedia 377 : Matched cat Hipparcos - (?^u:\[\[Hipparcos catalogue\|HIP\]\](&nbsp;|\s*)(\d+)) - 46146
82   DEBUG stellarum.wiki_stars 89 : Star AL NAIR Alpha Gruis
84   DEBUG stellarum.wikipedia 212 : Missing field dist_ly
84   DEBUG stellarum.wikipedia 212 : Missing field dist_pc
84   DEBUG stellarum.wikipedia 212 : Missing field variable
84   DEBUG stellarum.wikipedia 377 : Matched cat Hipparcos - (?^u:\[\[Hipparcos catalogue\|HIP\]\](&nbsp;|\s*)(\d+)) - 109268
85   DEBUG stellarum.wiki_stars 89 : Star AL NASL Gamma Sagittarii
86   DEBUG stellarum.wikipedia 212 : Missing field dist_ly
86   DEBUG stellarum.wikipedia 212 : Missing field dist_pc
87   DEBUG stellarum.wikipedia 212 : Missing field luminosity
87   DEBUG stellarum.wikipedia 377 : Matched cat Draper - (?^u:\[\[Henry Draper Catalogue\|HD\]\](&nbsp;|\s*)(\d+)) - 165135
87   DEBUG stellarum.wikipedia 377 : Matched cat BrightStar - (?^u:\[\[Bright Star Catalogue\|HR\]\](&nbsp;|\s*)(\d+)) - 6746
88   DEBUG stellarum.wiki_stars 89 : Star AL NIYAT Sigma Scorpii
90   DEBUG stellarum.wikipedia 212 : Missing field parallax
90   DEBUG stellarum.wikipedia 377 : Matched cat Draper - (?^u:\[\[Henry Draper Catalogue\|HD\]\](&nbsp;|\s*)(\d+)) - 147165
91   DEBUG stellarum.wiki_stars 89 : Star AL RISCHA Alpha Piscium
93   DEBUG stellarum.wikipedia 212 : Missing field absmag_v
94   DEBUG stellarum.wikipedia 212 : Missing field class
94   DEBUG stellarum.wikipedia 212 : Missing field gravity
95   DEBUG stellarum.wikipedia 212 : Missing field luminosity
95   DEBUG stellarum.wikipedia 212 : Missing field mass
96   DEBUG stellarum.wikipedia 212 : Missing field metal_fe
96   DEBUG stellarum.wikipedia 212 : Missing field parallax
97   DEBUG stellarum.wikipedia 212 : Missing field radial_v
97   DEBUG stellarum.wikipedia 212 : Missing field radius
98   DEBUG stellarum.wikipedia 212 : Missing field rotational_velocity
98   DEBUG stellarum.wikipedia 212 : Missing field temperature
99   DEBUG stellarum.wikipedia 212 : Missing field variable
99   DEBUG stellarum.wikipedia 377 : Matched cat Draper - (?^u:\[\[Henry Draper Catalogue\|HD\]\](&nbsp;|\s*)(\d+)) - 12447
100  DEBUG stellarum.wikipedia 377 : Matched cat BrightStar - (?^u:\[\[Bright Star Catalogue\|HR\]\](&nbsp;|\s*)(\d+)) - 595
100  DEBUG stellarum.wikipedia 377 : Matched cat Hipparcos - (?^u:\[\[Hipparcos catalogue\|HIP\]\](&nbsp;|\s*)(\d+)) - 9487
102  DEBUG stellarum.wiki_stars 89 : Star AL SHARAS Beta Crateris
105  DEBUG stellarum.wikipedia 212 : Missing field absmag_v
105  DEBUG stellarum.wikipedia 212 : Missing field appmag_v
106  DEBUG stellarum.wikipedia 212 : Missing field class
106  DEBUG stellarum.wikipedia 212 : Missing field constell
106  DEBUG stellarum.wikipedia 212 : Missing field dist_ly
107  DEBUG stellarum.wikipedia 212 : Missing field dist_pc
107  DEBUG stellarum.wikipedia 212 : Missing field gravity
107  DEBUG stellarum.wikipedia 212 : Missing field luminosity
107  DEBUG stellarum.wikipedia 212 : Missing field mass
108  DEBUG stellarum.wikipedia 212 : Missing field metal_fe
108  DEBUG stellarum.wikipedia 212 : Missing field parallax
108  DEBUG stellarum.wikipedia 212 : Missing field radial_v
109  DEBUG stellarum.wikipedia 212 : Missing field radius
109  DEBUG stellarum.wikipedia 212 : Missing field rotational_velocity
109  DEBUG stellarum.wikipedia 212 : Missing field temperature
110  DEBUG stellarum.wikipedia 212 : Missing field variable
